Уровень: Город
Кузнецова Татьяна, диплом: 1
Попов Пётр, диплом: 1
Иванов Пётр, диплом: 2
Кузнецов Пётр, диплом: 2
Кузнецов Сергей, диплом: 2
Петров Сергей, диплом: 2
Козлова Ольга, диплом: 3
Лебедев Дмитрий, диплом: 3
Сидорова Елена, диплом: 3
Соловьёв Алексей, диплом: 3

Уровень: Область
Лебедева Мария, диплом: 1
Попова Мария, диплом: 1
Сидоров Пётр, диплом: 1
Соловьёва Мария, диплом: 2
Лебедев Пётр, диплом: 3
Лебедев Пётр, диплом: 3
Сидоров Иван, диплом: 3
Сидоров Пётр, диплом: 3
Фёдоров Пётр, диплом: 3
Фёдорова Татьяна, диплом: 3

Уровень: Респа
Сидорова Ольга, диплом: 1
Смирнов Алексей, диплом: 1
Фёдоров Алексей, диплом: 1
Козлова Мария, диплом: 2
Козлова Татьяна, диплом: 2
Петрова Татьяна, диплом: 2
Соловьёва Ольга, диплом: 2
Соловьёва Ольга, диплом: 2
Козлов Дмитрий, диплом: 3
Сидорова Мария, диплом: 3

Уровень: Межнар
Иванова Мария, диплом: 1
Козлов Пётр, диплом: 1
Попов Иван, диплом: 1
Иванова Елена, диплом: 2
Иванова Ольга, диплом: 2
Кузнецов Пётр, диплом: 2
Кузнецов Пётр, диплом: 2
Иванова Анна, диплом: 3
Попова Ольга, диплом: 3
Соловьёва Ольга, диплом: 3

